"","Afatinib.down_Neratinib.down","Afatinib.up_Neratinib.up","Afatinib.down_NA","Afatinib.up_NA","Neratinib.down_NA","Neratinib.up_NA"
"334","Hsp90b1","H2ac25",NA,NA,"Mei4","Iqcd"
"335","Hspa14","H2ac6",NA,NA,"Met","Iqcg"
"336","Hspd1","H2bc21",NA,NA,"Mettl1","Iqsec2"
"337","Htr2a","H2bc24",NA,NA,"Mlkl","Irak2"
"338","Htra1","H2bc27",NA,NA,"Mogat1","Irak3"
"339","Idi1","H2bc4",NA,NA,"Mphosph6","Irs2"
"340","Iffo2","H2bc6",NA,NA,"Mreg","Itfg1"
"341","Ifrd2","H3c4",NA,NA,"Mrpl12","Itga10"
"342","Igf2bp1","H4c14",NA,NA,"Mrpl42","Itpka"
"343","Igfbp3","Hbp1",NA,NA,"Mrps10","Itpkb"
"344","Il18rap","Hdac11",NA,NA,"Mrps22","Izumo4"
"345","Il34","Hdac5",NA,NA,"Mrps27","Jup"
"346","Incenp","Hdac9",NA,NA,"Msantd3","Kcnc3"
"347","Inpp4b","Heph",NA,NA,"Msh3","Kcnh3"
"348","Ints1","Hhatl",NA,NA,"Msh6","Kcnn1"
"349","Iqgap3","Hmcn2",NA,NA,"Mst1","Kcnq1"
"350","Irf4","Hmgcs2",NA,NA,"Mt3","Kctd1"
"351","Itga3","Hoga1",NA,NA,"Mybbp1a","Kctd21"
"352","Jdp2","Hoxa4",NA,NA,"Mycbp","Kctd7"
"353","Jpt2","Hoxb5",NA,NA,"Mydgf","Kdm4b"
"354","Kbtbd6","Hoxb8",NA,NA,"Myof","Kdm6b"
"355","Kcnk10","Hs6st1",NA,NA,"Myom2","Khnyn"
"356","Kctd9","Hscb",NA,NA,"Naa50","Kif13b"
"357","Kdm8","Hsd11b1",NA,NA,"Nat8l","Kif1b"
"358","Kif11","Hsd17b1",NA,NA,"Ncl","Kif21a"
"359","Kif14","Hsd17b11",NA,NA,"Ndufaf4","Kif26b"
"360","Kif15","Hsdl2",NA,NA,"Nfe2l3","Kifc3"
"361","Kif17","Hspa1b",NA,NA,"Nif3l1","Kirrel3"
"362","Kif18a","Htr3a",NA,NA,"Nip7","Kiz"
